objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
1691,,Stables,Wedding Site,140,Hartwood Acres Park,HA,Stables,https://www.alleghenycounty.us/parks/hartwood/wedding-and-party-rentals.aspx,300,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.9125788,40.56778769
1692,,Environmental Learning Center,Building,10,Harrison Hills Park,HH,Environmental Learning Center,https://www.alleghenycounty.us/parks/harrison-hills/environmental-learning-center.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.70299452,40.65716831
1693,,Soccer Field 2,Field - Soccer,64,Harrison Hills Park,HH,Soccer Field 2,https://www.alleghenycounty.us/parks/harrison-hills/soccer.aspx,300,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.69498323,40.64652986
1694,,Baneberry,Shelter,130,Harrison Hills Park,HH,Baneberry,https://www.alleghenycounty.us/parks/harrison-hills/baneberry.aspx,60,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.70240981,40.65240363
1695,,Broken Branch,Shelter,130,Harrison Hills Park,HH,Broken Branch,https://www.alleghenycounty.us/parks/harrison-hills/broken-branch.aspx,100,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.69781859,40.64942148
1696,,Laurel,Shelter,130,Harrison Hills Park,HH,Laurel,https://www.alleghenycounty.us/parks/harrison-hills/laurel.aspx,100,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.69922926,40.64949096
1697,,Overlook,Shelter,130,Harrison Hills Park,HH,Overlook,https://www.alleghenycounty.us/parks/harrison-hills/overlook.aspx,125,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.69366346,40.65094466
1698,,Ox Roast,Shelter,130,Harrison Hills Park,HH,Ox Roast,https://www.alleghenycounty.us/parks/harrison-hills/ox-roast.aspx,125,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.69485362,40.65032988
1699,,Rachel Carson,Shelter,130,Harrison Hills Park,HH,Rachel Carson,https://www.alleghenycounty.us/parks/harrison-hills/rachel-carson.aspx,100,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,-79.69899799,40.64886555
1700,,Wake Robin,Shelter,130,Harrison Hills Park,HH,Wake Robin,https://www.alleghenycounty.us/parks/harrison-hills/wake-robin.aspx,50,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.70021726,40.65102153
