objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
12761,RH2207, ,RH,Round Hill,Round Hill Park,,,,,,,,0.05408009,,,,,,,{444A5E27-A6C1-473F-A531-AB3743863FC6},Closed,0.000852768444905537
12762,RH2208, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02118063,,,,,,,{146C8528-AFFF-43A5-AE55-2097128858CE},Closed,0.000320017007323358
12763,RH2209, ,RH,Round Hill,Round Hill Park,,,,,,,,0.15810347,,,,,,,{DADDE326-2A08-4EBF-A116-E32A50ED8BB3},Active Trail,0.0028040389890061
12764,RH2210, ,RH,Round Hill,Round Hill Park,,,,,,,,0.07945526,,,,,,,{CB7A8A0C-5AB9-437E-8C80-24AFA415E029},Active Trail,0.0013083934073261
12765,RH2211, ,RH,Round Hill,Round Hill Park,,,,,,,,0.61133289,,,,,,,{86CEBB79-7621-45A9-A345-8FEC3ABF508C},Active Trail,0.010516996547993
12766,RH2212, ,RH,Round Hill,Round Hill Park,,,,,,,,0.38272346,,,,,,,{EF5169E5-07ED-41C7-9B6B-BDECA51151E8},Active Trail,0.0061326912330104
12767,RH2213, ,RH,Round Hill,Round Hill Park,,,,,,,,0.40078943,,,,,,,{F1A0165E-D48E-4A04-B47B-C50310578E59},Active Trail,0.00659602618476935
12768,RH2214, ,RH,Round Hill,Round Hill Park,,,,,,,,0.29415779,,,,,,,{C319DA33-8F73-4589-BB21-B1F6BD1E29EE},Closed,0.00495288378861378
12769,RH2215, ,RH,Round Hill,Round Hill Park,,,,,,,,0.2829491,,,,,,,{AD6307E2-7DF4-4C86-8D94-AF66CF8489E2},Closed,0.00459760853970392
12770,RH2216, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27219434,,,,,,,{149D3403-0B29-4143-B3B1-9574E55B28FD},Closed,0.00454318149580171
12771,RH2217, ,RH,Round Hill,Round Hill Park,,,,,,,,0.17824682,,,,,,,{E80D086B-CB00-41C8-B476-A2AA69EAE9F4},Closed,0.00327261202879621
12772,RH2218, ,RH,Round Hill,Round Hill Park,,,,,,,,0.01066276,,,,,,,{80CBC052-C0EF-4285-B5D4-61700CD13C89},Closed,0.000167295976585321
12773,RH2219, ,RH,Round Hill,Round Hill Park,,,,,,,,0.11871212,,,,,,,{A32D1B38-BD8E-4B38-8677-4CF71033EF0F},Closed,0.00201344634387319
12774,RH2220, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02910441,,,,,,,{4C1711F5-928B-484B-B961-F53D8C2A4FDC},Closed,0.000432384799044646
12775,RH2221, ,RH,Round Hill,Round Hill Park,,,,,,,,0.25700538,,,,,,,{8D9EE370-26DB-465F-B654-278183498F6E},Closed,0.00395459181981922
12776,RH2222, ,RH,Round Hill,Round Hill Park,,,,,,,,0.01780424,,,,,,,{7342DA39-46A5-4EC5-859B-2FFA9F674830},Closed,0.000289372853751119
12777,RH2223, ,RH,Round Hill,Round Hill Park,,,,,,,,0.02205659,,,,,,,{695CC893-2990-4514-8671-213626B41261},Closed,0.000360246067710936
12778,RH2224, ,RH,Round Hill,Round Hill Park,,,,,,,,0.09976144,,,,,,,{56A8E5DD-8FD2-4146-98A7-183AB886678F},Closed,0.00177168268625323
12779,RH2225, ,RH,Round Hill,Round Hill Park,,,,,,,,0.06015286,,,,,,,{ED038769-4FAC-4490-A0D2-C6E12085F9CC},Closed,0.000914447575965113
12780,RH2226, ,RH,Round Hill,Round Hill Park,,,,,,,,0.05222396,,,,,,,{2665A61B-F06B-4EE7-8F92-C8A1B9CFF11D},Closed,0.000778680875973679
12781,RH2227, ,RH,Round Hill,Round Hill Park,,,,,,,,0.04963883,,,,,,,{A320AD3C-7E5F-4254-B08C-E32E2341E54F},Closed,0.000842217548870047
12782,RH2228, ,RH,Round Hill,Round Hill Park,,,,,,,,0.12765922,,,,,,,{7E83F60F-BF58-4B23-ACCA-EEA06EBF6778},Closed,0.00206363569461814
12783,RH2229, ,RH,Round Hill,Round Hill Park,,,,,,,,0.08957718,,,,,,,{B43ADE21-D1D2-4400-8DCE-71104A2AB36A},Closed,0.00156277217137338
12864,RH2640, ,RH,Round Hill,Round Hill Park,,,,,,,,0.32845047,,,,,,,{117C64E6-F3A3-495B-9BFB-383A43D8E292},Active Trail,0.00528114949925054
12865,RH2641, ,RH,Round Hill,Round Hill Park,,,,,,,,0.6222404,,,,,,,{1119EBAC-78F4-43BF-880E-8E3132A94BBE},Closed,0.0102858077968057
12866,RH2642, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27716441,,,,,,,{4741BFF7-EDE7-44BF-BF27-AF686D7DE4EC},Closed,0.00501288887247682
12867,RH2643, ,RH,Round Hill,Round Hill Park,,,,,,,,0.44624606,,,,,,,{F3875A9D-58BC-4FEF-B451-34691211C845},Closed,0.00799783131559755
12868,RH2644, ,RH,Round Hill,Round Hill Park,,,,,,,,0.14411171,,,,,,,{41260767-2709-4315-8FD8-9BF79794F75B},Closed,0.00230060577731097
12869,RH2645, ,RH,Round Hill,Round Hill Park,,,,,,,,0.16533889,,,,,,,{7B5675A9-71C1-469F-AF38-4571D41EF8C5},Closed,0.00266529133069684
12870,RH2646, ,RH,Round Hill,Round Hill Park,,,,,,,,0.30987726,,,,,,,{D507F678-9C6E-46AD-9168-2F370881CCEA},Closed,0.00527266102052165
12871,RH2647, ,RH,Round Hill,Round Hill Park,,,,,,,,0.08534451,,,,,,,{5575D8E8-22F4-4845-B24E-6892F0EBFA4C},Closed,0.00132246864380048
12872,RH2648, ,RH,Round Hill,Round Hill Park,,,,,,,,0.20239407,,,,,,,{AE9FEF47-EA30-4731-90BB-A9F51F9F3E6C},Closed,0.00308164775825682
12873,RH2649, ,RH,Round Hill,Round Hill Park,,,,,,,,0.71654412,,,,,,,{3165A6F2-2193-470D-A0A0-E79935818868},Closed,0.0131240179229337
12874,RH2650, ,RH,Round Hill,Round Hill Park,,,,,,,,0.39150645,,,,,,,{481C3A31-1D07-4B96-9672-FA35BA2FA576},Closed,0.00704805193337314
12875,RH2651, ,RH,Round Hill,Round Hill Park,,,,,,,,0.27736699,,,,,,,{0A6C2767-DDE1-488D-B740-68B690ED415B},Closed,0.00503917344371233
12876,RH2652, ,RH,Round Hill,Round Hill Park,,,,,,,,1.12712658,,,,,,,{D5F29958-4EEF-4B26-93D8-B15FBAD1B72A},Closed,0.0187944246936257
13007,HH4755, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.04190102,,,,,,,{7C0F13AD-5A00-4B3A-8F8A-6D3967CB01E2},Active,0.000785397688059246
13008,HH4757, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.04319621,,,,,,,{C8AE4E89-CD9F-4D7B-9207-783C2F678AA5},Closed,0.000790031489158289
13009,HH4759, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.14931159,,,,,,,{B258DC6A-45C7-40B5-8D11-99358E0C2244},Active,0.00276922398138512
13010,HH4763, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.19932495,,,,,,,{08FF06C6-6DEE-4BC4-A861-1BD30AAB624C},Active,0.00343257496198515
13011,HH13022,Green,HH,Harrison Hills,Harrison Hills Park,Green,GN,Green,,,,http://apps.alleghenycounty.us/GIS/GREENbase.png,1.9678255,,,Moderate,Loop,Dirt,No,{B929A48D-D220-49F7-9A65-154C612076E1},Active,0.0330649186557806
13012,HH4765,Purple,HH,Harrison Hills,Harrison Hills Park,Purple,PL,Purple, , , ,http://apps.alleghenycounty.us/GIS/PURPLEbase.png,1.23581911,,,Easy-Moderate,Loop,,,{E42E9F84-1DAF-49DF-9165-4794E34DC0B1},Active,0.0215189707803373
13013,HH4766,White,HH,Harrison Hills,Harrison Hills Park,White,WT,White, , , ,http://apps.alleghenycounty.us/GIS/WHITEbase.png,1.27816314,,,Easy-Moderate,Loop,,,{D7F5DBA6-9E05-4F5C-B795-B84AB4A88CF6},Active,0.0219802022870788
13014,HH4767,Blue,HH,Harrison Hills,Harrison Hills Park,Blue,BL,Blue, , , ,http://apps.alleghenycounty.us/GIS/BLUEbase.png,0.63353647,,,Easy,Loop,,,{CF8FDC6E-7ABD-45EE-B596-3D8610A4D2E4},Active,0.0105887139054923
13015,HH13026, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,, , ,,<Null>,0.4302681,,,Easy-Moderate,Connector,,,{EDE6C38B-5061-4977-9D7C-8A45771318DC},Closed,0.00674601041799526
13016,HH4770,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills Park,Gravel or Paved Trail/Road,GY,Gray, , , ,http://apps.alleghenycounty.us/GIS/GRAY.png,0.33843602,,,Easy,Paved Loop,Asphalt,No,{38BF6548-9A0F-46B1-9F95-1E2F30782F1C},Active,0.00550737341312474
13017,HH4772, ,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.05674948,,,Easy,Access,,,{C7DC5AB3-8449-4821-8CA5-C378E26E734B},Active,0.000859469574004395
13018,HH4773,Gravel or Paved Trail/Road,HH,Harrison Hills,Harrison Hills Park,Gravel or Paved Trail/Road,GY,Gray,,,,http://apps.alleghenycounty.us/GIS/GRAY.png,0.37568,,,Easy,Point to Point,Asphalt,Yes,{A170CB4B-CEA7-430B-9C46-3CD91D720CDC},Active,0.00573303509752586
13019,HH4775, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,, , , ,<Null>,0.31972589,,,Moderate,Point to Point,,,{9C2E260F-8B97-4361-90A4-823C0EC9FC7E},Closed,0.0051381418899991
13138,HH42066,Decommissioned Red,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.0551606,,,,,,,{77232604-A8E6-4859-BF43-D4672BB9F247},Closed,0.000908059994717592
13148,HH42503,Intra Park Connector,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.02943048,,,Easy-Moderate,Connector,Dirt,No,{24476E04-F808-4B9D-BEE4-A8989790D15F},Active,0.000539419200371372
13152,HH45251,Yakaon Shelter - Red Trail Access,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.33228998,,,Moderate,Access,,No,{EE9A78C8-E8AF-4EFF-987C-CE690FCE06A6},Active,0.0055673522041222
13161,HH42936, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.65672626,,,,,Dirt,,{28B8B3E4-3E8F-40A0-B2A9-8B47D252C6D2},Active,0.0110111170756348
13162,HH4769, ,HH,Harrison Hills,Harrison Hills Park,<Null>,<Null>,,,,,<Null>,0.09661919,,,Easy,Connector,Dirt,No,{1DEA44CA-55A2-4023-ADAA-309B6EFDF011},Active,0.00144278556163561
13163,HH42941,Red,HH,Harrison Hills,Harrison Hills Park,Red,RD,Red,,,,http://apps.alleghenycounty.us/GIS/REDbase.png,5.34709529,,,Difficult,Loop,Dirt,,{E16EB87E-7915-4E11-9659-905309EACDF1},Active,0.0890151962365085
13164,HH42944,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.0370232,,,Easy,Access,Grass,,{711030C1-9358-4B10-8BEC-084E40085BD8},Active,0.000598007511201533
13165,HH42945,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.19573759,,,Easy-Moderate,,Grass,,{33EEA6B3-5899-476F-98C9-ECEBF7F49DB1},Active,0.00335709272855124
13204,SC4781, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.16492437,,,,,,,{AE2A55E9-7F17-49AD-A466-B74C57291B71},Active,0.00269597260142554
13205,SC4813,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.00574511,,,,,,,{C5DA0CED-324D-4090-9D86-3431F8AD56FB},Closed,9.28162918063478e-05
13206,SC4815, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0345952,,,,,,,{45066A2F-B016-40A3-877A-654053CDDFBA},Active,0.000524931404558079
13207,SC4817, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0886406,,,Easy,,Dirt,,{AEEFE9B8-71B3-4DE6-A4E7-BD31579940CF},Active,0.00158479991168232
13208,SC4818, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.09666262,,,,,,,{5D18FAA7-C2D4-4F24-AB0B-894E89F3FA6E},Active,0.00160237485602824
13209,SC4820, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01977013,,,,,,,{711B545C-C5BA-4F7F-BA19-65DAFB6F2A24},Closed,0.000358480861233393
13210,SC4822,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.25428399,,,,,,,{999432D1-AFB8-4195-9572-270DB403ECF4},Closed,0.00413658230348307
13211,SC4823,Old Red Free Ride - Still Visible - Delete?,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03538262,,,,,,,{CD580185-966B-40FA-9197-94E91B2F589B},Closed,0.000559407614923926
13212,SC4824, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02349122,,,,,,,{3871AE5E-7613-4973-8886-237045DF5B6D},Active,0.000357956790077869
13213,SC4825, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03621281,,,,,,,{4DEBF643-C789-412B-BCDE-177D770C2F25},Closed,0.000586210237627846
13214,SC4829, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01870597,,,,,,,{50FD046A-0D29-4654-A1F2-2340F886DF6D},Active,0.000294220207116706
13215,SC4851, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0129572,,,,,,,{6CFD25C6-1401-4E60-9766-885647E2C373},Active,0.000232841025215196
13216,SC4894, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.06139299,,,,,,,{5B1D8E3F-3359-412A-85EE-EA4F504010F1},Closed,0.0011299759251574
13217,SC4903,Gravel or Paved Trail/Road,SC,Settlers Cabin,Settlers Cabin Park,Gravel or Paved Trail/Road,GY,Gray, , , ,http://apps.alleghenycounty.us/GIS/GRAY.png,0.67120671,,,Moderate-Difficult,Pt_to_Pt,Asphalt,No,{BF434E09-76BB-4193-BDDA-7CB0E555DF89},Active,0.0101715701978203
13348,SC4836, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04085468,,,,,,,{D7A33BE1-AE3F-4359-9717-E298DBF25562},Closed,0.000623247948394706
13349,SC8177,Blue,SC,Settlers Cabin,Settlers Cabin Park,Blue,BL,Blue,,,,http://apps.alleghenycounty.us/GIS/BLUEbase.png,1.84695193,,,Easy-Moderate,Loop,,,{F0ECE99C-C494-4491-AE74-C2D521514222},Active Trail,0.029556876699734
13350,SC13239,Red,SC,Settlers Cabin,Settlers Cabin Park,Red,RD,Red,,,,http://apps.alleghenycounty.us/GIS/REDbase.png,0.25660343,,,Easy-Moderate,Access,Dirt,,{87A33650-8C6E-4D9B-8B52-0B5F62798A1F},Active,0.00455481804780647
13351,SC4831, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.08203995,,,,,,,{B696B5F0-D677-4AB3-9CAB-FA407A90AB1E},Active,0.00129293400066663
13352,SC343,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.17683684,,,,,,,{95BC6624-567D-40E2-975E-0D75E4F7A1BF},Closed,0.0027607222783978
13353,SC344,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.07408893,,,,,,,{036E0593-DEEF-4919-8D4E-8F131834BEF3},Closed,0.00132689620605707
13354,SC345,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05545381,,,,,,,{0A3787A1-8A51-4976-BB82-89861DFB3960},Closed,0.000817238419946208
13355,SC346,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04681038,,,,,,,{09BD9891-85F8-43E0-8016-293E40E575D9},Closed,0.000750432048171627
13356,SC349,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.3025609,,,,,,,{BED1E131-EBCC-4B00-A5E1-F033984D2CB5},Closed,0.00552412984926797
13357,SC350,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.13187315,,,,,,,{42494A31-5522-49E6-956A-1EC90A1DAA4C},Closed,0.00239064824869464
13358,SC351,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.10206829,,,,,,,{AB36A78F-F9B0-43A9-9962-FE483956BF86},Closed,0.00189944990027843
13359,SC352,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.30074763,,,,,,,{8737ED8E-0891-41DC-85DA-6319AF83DEAD},Closed,0.00530487061324444
13360,SC353,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05906343,,,,,,,{4182D4E7-DB4F-4A6F-9042-A45D8739EFCE},Closed,0.000877889026580909
13361,SC354,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.2592668,,,,,,,{66E45A9E-A68B-456F-B325-D3E7DF1F04A3},Closed,0.0040949485453216
13362,SC355,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.15869682,,,,,,,{0FC89591-46D6-4A0A-AC00-72E6595C8A36},Closed,0.0028795958927949
13363,SC356,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.06460538,,,,,,,{1BF64CE9-2597-41E2-9F81-F1B86008B1B0},Closed,0.00107759079049157
13364,SC360,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0327344,,,,,,,{10754420-02CC-473C-8AC0-72B4E1D9C9A1},Closed,0.000585234969915869
13365,SC361,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.1384248,,,,,,,{A4A77F99-12B3-453F-91F2-561F04429072},Closed,0.00233256446822249
13366,SC362,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0128913,,,,,,,{E927361B-D33F-41B6-92B0-27CF620026B7},Closed,0.000238212737567398
13367,SC363,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02311617,,,,,,,{21C993DD-11D8-4139-96FD-8F16711F01E4},Closed,0.000343180096359048
13368,SC364,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04247562,,,,,,,{91F99695-4AA6-4EC7-B2D8-F850F4E41E94},Closed,0.000770796340047499
13369,SC366, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03280317,,,,,,,{C23DFB08-FA27-4ACD-9A90-5E3795F979F6},Closed,0.000576202186340078
13370,SC459,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05415622,,,,,,,{BF356E12-0F90-4887-8F4D-EB4DBCCA141A},Closed,0.000853104441151227
13371,SC662,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.09451656,,,,,,,{6361D0A0-765C-40B6-8D5A-C2EB66BD4128},Closed,0.00155540152384521
13372,SC663,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.18295811,,,,,,,{28D4AA53-6249-44D3-8BE7-4CE3F3F61B58},Closed,0.00305473195524894
13373,SC664, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01756329,,,,,,,{333F5EF1-37A8-43A9-BB6F-9DAB20E9A74B},Closed,0.000263583687222547
13374,SC665,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.30055219,,,,,,,{D878E8AC-E249-4C75-94D1-B7E5D87E1215},Closed,0.00544567787929548
13375,SC15837,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.51887842,,,,,,,{AF9A3C64-076F-461F-B09B-E00179A6DEE0},Closed,0.00962528202563262
13376,SC667,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.89304149,,,,,,,{06922073-4BF1-4080-BF00-4AA6A38EC8BF},Closed,0.0148241658382157
13377,SC668,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.5337299,,,,,,,{71DF5305-01A5-4DE8-B8DF-1526562A01B2},Closed,0.00870457393569131
13378,SC669,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03972989,,,,,,,{D267782D-B340-46FC-AE80-B724AB780009},Closed,0.000701398452876831
13379,SC670,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.30075429,,,,,,,{5A9C0261-46B9-4406-96A2-BDFD967C6C91},Closed,0.00543438844498355
13380,SC672,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.11378999,,,,,,,{F1C82A39-AC24-4571-8B94-4A858C7039F6},Closed,0.0016810353411896
13381,SC673,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.16250331,,,,,,,{326781A4-701D-4044-9EDA-9E9CA49364E0},Closed,0.00286853772763894
13382,SC674,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02787861,,,,,,,{7220245F-86E7-4829-B084-0BE3CBF0E704},Closed,0.000443034025554327
13383,SC15845,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.7523234,,,,,,,{3C6073E5-BE7D-44E7-864C-227AEECF5F08},Closed,0.0123116168804822
13384,SC15846,,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02905782,,,,,,,{41B1EE3D-8A8B-4256-9EC9-5A9AFF22334C},Closed,0.000434883511894524
