field_name,x,y,objectid,area,perimeter,ballfields,ballfiel_1,id,polygonid,scale,angle,point_x,point_y,dpw_name,cityid,active
Stan Lederman,-79.9135770354589,40.4296938290122,44,0,0,44,44,48,0,0,0,1366247.71132569,406765.03973968,Stan Lederman,P321,Yes
Armstrong,-79.9854767853625,40.4284075802637,45,0,0,45,45,8,0,0,0,1346226.0525502,406795.08922027,Armstrong,P280,Yes
Dan Marino,-79.9549353819066,40.4296584921498,46,0,0,46,46,44,0,0,0,1354737.25600019,407036.91583635,Dan Marino,P318,Yes
Ormsby,-79.9742216715629,40.4297460541074,47,0,0,47,47,87,0,0,0,1349370.67847878,407203.43026711,Ormsby,P359,Yes
Panther Hollow,-79.9501949455622,40.4309366835414,48,0,0,48,48,96,0,0,0,1356068.12538569,407469.50388193,Panther Hollow,,Yes
Olympia 2,-80.0182654202205,40.4300446153199,49,0,0,49,49,0,0,0,0,1337116.20889327,407623.99701127, Name,P358,Yes
Westwood 2,-80.0503735314988,40.4301061044578,50,0,0,50,50,118,0,0,0,1328181.32518828,407877.57229152,Westwood  #2,P390,Yes
Olympia 1,-80.0187891616848,40.43115678718,51,0,0,51,51,86,0,0,0,1336980.86237919,408032.77080002,Olympia # 1,P357,Yes
Westwood 1,-80.0502667941207,40.4310437404176,52,0,0,52,52,117,0,0,0,1328219.92550477,408218.26189886,Westwood  #1,P389,Yes
Schenley Oval,-79.9434119442264,40.4325370468727,53,0,0,53,53,95,0,0,0,1358622.25774461,408306.03173643,Oval,P246,Yes
Braddock 2,-79.8979252553376,40.4378056191217,54,0,0,54,54,47,0,0,0,1370675.54433353,409612.92643236,Jeff Rosenthal,P319,Yes
Braddock 1,-79.8975221974523,40.4386333645172,55,0,0,55,55,45,0,0,0,1370795.03622052,409911.65582177,Braddock #2,P320,Yes
Wabash,-80.0342282136905,40.4385686153656,56,0,0,56,56,114,0,0,0,1332754.17365411,410842.76878893,Wabash,P385,Yes
Dunbar Field 2,-80.0523813518694,40.4382944385422,57,0,0,57,57,35,0,0,0,1327700.32746261,410874.12272885,Dunbar  #2,,Yes
Warren K. Branch,-79.9742313345819,40.4398833307892,58,0,0,58,58,71,0,0,0,1349460.99227452,410895.32413001,Warren K Branch,P344,Yes
Dunbar Field 3,-80.0530292367322,40.4388210048698,59,0,0,59,59,0,0,0,0,1327525.05058219,411070.58690286, Name,,Yes
Dunbar Field 1,-80.0522547198472,40.4392489797158,60,0,0,60,60,34,0,0,0,1327744.62822703,411220.82413518,Dunbar  #1,P310,Yes
Mazeroski,-79.9522694797373,40.4412553278724,61,0,0,61,61,94,0,0,0,1355584.52300644,411241.79883078,Mazeroski,P367,Yes
Herschel Lower,-80.0430893680937,40.4399189736909,62,0,0,62,62,52,0,0,0,1330301.26189327,411398.45173268,Herschel #1 (Lower),P325,Yes
Kennard 2,-79.9727905212593,40.4415019277804,63,0,0,63,63,0,0,0,0,1349876.74931702,411474.69436236, Name,P336,Yes
